"TOA5","CR200Series","CR2xx","","v06","WX-SI-05.CR2","32788","data2"
"TIMESTAMP","RECORD","BatVolt_V_Min","AirTemp_C_Max","AirTemp_C_Min","WindSpeed_ms_Max","RainYearly_mm","DailyETo_mm"
"TS","RN","","","","","",""
"","","Min","Max","Min","Max","Smp","Smp"
"2012-03-03 00:00:00",0,13.14225,37.85565,21.51169,6.47,0,2.234099
"2012-03-05 00:00:00",1,12.98864,41.5972,22.53278,6.929,0,6.492694
"2012-03-06 00:00:00",2,12.95674,41.39651,24.96198,4.0985,0,0.5091276
"2012-09-11 00:00:00",3,13.04656,30.73819,14.99991,0.503,0,0.01327138
"2012-09-18 00:00:00",4,13.10952,25.81842,21.39893,5.092999,0,2.054174
"2012-09-19 00:00:00",5,13.03397,30.23721,14.98999,4.8635,0,4.992909
"2012-09-20 00:00:00",6,13.02473,29.98508,17.54507,3.9455,0,4.675554
"2012-09-21 00:00:00",7,13.00291,30.96378,17.10849,6.0875,0,4.565902
"2012-09-22 00:00:00",8,13.00207,31.44519,24.46109,7.6175,0,5.363571
"2012-09-23 00:00:00",9,12.97185,31.20447,23.04486,5.9345,0,4.94896
"2012-09-24 00:00:00",10,12.92568,31.44116,18.34341,6.5465,0,4.820933
"2012-09-25 00:00:00",11,12.92904,31.77878,23.08386,6.3935,0,4.86308
"2012-09-26 00:00:00",12,12.90385,30.66458,20.86444,5.858,0,4.21516
"2012-09-27 00:00:00",13,12.87447,32.35938,20.12857,4.94,0,4.7814
"2012-09-28 00:00:00",14,12.86188,32.21948,20.1712,7.7705,0,4.852094
"2012-09-29 00:00:00",15,12.85181,30.98846,20.4592,7.082,0,5.092787
"2012-09-30 00:00:00",16,12.86272,30.47696,22.22122,7.7705,0,5.119703
"2012-10-01 00:00:00",17,12.84761,31.53418,21.77979,5.399,0,5.016008
"2012-10-02 00:00:00",18,12.82327,34.39877,20.31161,5.552,0,3.489494
"2012-10-03 00:00:00",19,12.79641,37.48148,16.61966,5.7815,0,5.998938
"2012-10-04 00:00:00",20,12.79641,35.4819,17.69565,5.552,0,5.912752
"2012-10-05 00:00:00",21,12.80984,31.34433,17.67014,4.787,0,5.483578
"2012-10-06 00:00:00",22,12.81907,32.15347,19.39078,6.0875,0,5.473556
"2012-10-07 00:00:00",23,12.82327,31.5463,21.02307,7.082,0,5.508335
"2012-10-08 00:00:00",24,12.84425,30.80002,25.88098,6.776,0,5.329757
"2012-10-09 00:00:00",25,12.83166,31.58847,23.4194,6.317,0,5.04072
"2012-10-10 00:00:00",26,12.83838,31.22293,22.7858,6.164,0,5.293398
"2012-10-11 00:00:00",27,12.80564,32.78146,22.12442,7.3115,0,5.690022
"2012-10-12 00:00:00",28,12.8283,34.64874,23.51193,5.6285,0,5.816505
"2012-10-13 00:00:00",29,12.81152,35.08069,20.51624,6.011,0,5.154198
"2012-10-14 00:00:00",30,12.80732,37.16989,17.10678,6.011,0,5.89434
"2012-10-15 00:00:00",31,12.76451,36.86697,15.75259,6.240499,0,6.249798
"2012-10-16 00:00:00",32,12.75275,36.14578,15.52072,7.694,0,6.384362
"2012-10-17 00:00:00",33,12.78969,31.87186,18.02026,7.235,0,5.688159
"2012-10-18 00:00:00",34,12.83586,33.32632,26.07211,6.6995,0,6.294157
"2012-10-19 00:00:00",35,12.8283,31.20847,23.89786,8.153,0,5.827134
"2012-10-20 00:00:00",36,12.83334,30.94067,26.36832,7.0055,0,5.742906
"2012-10-21 00:00:00",37,12.81236,31.71445,21.93277,7.082,0,5.633196
"2012-10-22 00:00:00",38,12.80396,31.05392,21.55063,6.929,0,5.451499
"2012-10-23 00:00:00",39,12.81152,32.69095,22.24036,6.3935,0,5.704311
"2012-10-24 00:00:00",40,12.79976,32.52808,21.72678,6.011,0,5.896509
"2012-10-25 00:00:00",41,12.81991,33.46988,26.9353,7.4645,0,6.286888
"2012-10-26 00:00:00",42,12.82327,32.78653,27.5412,7.082,0,6.460613
"2012-10-27 00:00:00",43,12.8048,38.37598,27.54193,3.9455,0,0.5441316
"2013-01-16 00:00:00",44,13.05243,25.29181,20.66135,1E-005,0,0.06049338
"2013-01-17 00:00:00",45,13.03397,25.33023,19.6228,0.5795,0,0.1538278
"2013-01-18 00:00:00",46,12.98276,21.31262,19.25122,1E-005,0,0.01805099
"2013-01-19 00:00:00",47,12.90385,20.6922,19.19446,1E-005,0,0.01827285
"2013-01-20 00:00:00",48,12.85013,21.33136,19.33322,1E-005,0,0.01858566
"2013-01-21 00:00:00",49,12.77206,21.87897,19.43634,1E-005,0,0.01878373
"2013-01-22 00:00:00",50,12.68056,21.98978,19.35001,1E-005,0,0.0188805
"2013-01-23 00:00:00",51,12.59998,21.58517,19.17535,1E-005,0,0.01861217
"2013-01-24 00:00:00",52,12.52527,21.88086,19.2572,1E-005,0,0.01860985
"2013-01-25 00:00:00",53,12.45643,21.35449,19.30386,1E-005,0,0.01842814
"2013-01-26 00:00:00",54,12.38844,21.0386,19.07098,1E-005,0,0.01856933
"2013-01-27 00:00:00",55,12.31457,21.74002,19.23926,1E-005,0,0.01879897
"2013-01-28 00:00:00",56,12.24993,22.15051,19.74466,1E-005,0,0.01890135
"2013-01-29 00:00:00",57,12.16851,22.29779,19.41956,1E-005,0,0.0190056
"2013-01-30 00:00:00",58,12.0896,21.69907,19.17535,1E-005,0,0.01910452
"2013-01-31 00:00:00",59,12.01825,21.62607,19.42435,1E-005,0,0.01927542
"2013-02-01 00:00:00",60,11.93094,21.73941,18.76389,1E-005,0,0.01944743
"2013-02-02 00:00:00",61,11.84448,21.76904,19.01141,1E-005,0,0.01950176
"2013-02-03 00:00:00",62,11.73284,22.23907,19.15085,1E-005,0,0.01973473
"2013-02-04 00:00:00",63,11.62035,22.66977,19.4808,1E-005,0,0.02013156
"2013-09-05 00:00:00",64,12.74436,31.15878,23.81314,1.574,0,0.04169463
"2013-09-06 00:00:00",65,12.58739,31.66803,21.69275,0.4265,21,0.01704461
"2013-09-07 00:00:00",66,12.45308,26.41556,24.94974,1E-005,23,0.001812293
"2013-09-08 00:00:00",67,12.64699,34.3284,15.23532,4.634,23,1.07051
"2013-09-09 00:00:00",68,12.56472,33.6347,9.494598,6.6995,23,2.695972
"2013-09-10 00:00:00",69,12.74688,33.28711,16.01578,0.4265,23,0.1046989
"2013-09-11 00:00:00",70,12.63355,29.11908,14.4299,1.268,23,0.01443182
"2013-09-12 00:00:00",71,12.59662,37.86053,11.89526,8.8415,23,6.109945
"2013-09-13 00:00:00",72,12.76535,35.73196,14.18173,9.530001,23,6.620052
"2013-09-14 00:00:00",73,12.73513,34.37677,9.146332,7.694,23,5.623521
"2013-09-15 00:00:00",74,12.77122,37.01047,8.945953,8,23,5.636691
"2013-09-16 00:00:00",75,12.80228,34.58853,13.37616,10.8305,23,7.100432
"2013-09-17 00:00:00",76,12.77458,30.65274,6.726563,7.4645,23,5.081682
"2013-09-18 00:00:00",77,12.76367,33.97806,4.080505,7.847,23,5.887582
"2013-09-19 00:00:00",78,12.7729,33.1138,5.754425,7.0055,23,5.510412
"2013-09-20 00:00:00",79,12.76367,32.82935,3.983765,5.9345,23,4.917778
"2013-09-21 00:00:00",80,12.77206,35.01608,4.024994,6.317,23,5.435215
"2013-09-22 00:00:00",81,12.81487,37.03522,9.437744,6.3935,23,5.726707
"2013-09-23 00:00:00",82,12.79976,38.41278,9.579681,8.765,23,6.60395
"2013-09-24 00:00:00",83,12.8283,38.62131,15.13385,9.071,23,6.973196
"2013-09-25 00:00:00",84,12.77542,37.73853,10.25558,6.3935,23,5.998025
"2013-09-26 00:00:00",85,12.77458,38.98987,8.947479,8.306,23,6.461407
"2013-09-27 00:00:00",86,12.78885,38.38199,11.65244,8.9945,23,6.251783
"2013-09-28 00:00:00",87,12.8006,36.9201,13.33139,5.858,23,5.494454
"2013-09-29 00:00:00",88,12.81152,34.80521,14.89664,8.535501,23,6.592562
"2013-09-30 00:00:00",89,12.81068,37.46698,14.58344,6.929,23,5.809084
"2013-10-01 00:00:00",90,12.82327,39.43454,16.77509,11.213,23,8.38568
"2013-10-02 00:00:00",91,12.84341,37.24078,17.68753,6.776,23,5.556797
"2013-10-03 00:00:00",92,12.77542,36.91629,11.84464,6.5465,23,6.11597
"2013-10-04 00:00:00",93,12.77374,34.80783,11.05426,9.3005,23,7.438888
"2013-10-05 00:00:00",94,12.7813,34.09998,10.10278,7.1585,23,6.429549
"2013-10-06 00:00:00",95,12.7813,36.99045,8.566132,6.164,23,5.534621
"2013-10-07 00:00:00",96,12.75443,39.8262,7.99231,6.164,23,5.749771
"2013-10-08 00:00:00",97,12.75695,41.47638,9.244904,10.142,23,6.280783
"2013-10-09 00:00:00",98,12.77458,41.98029,12.49814,7.694,23,7.070882
"2013-10-10 00:00:00",99,12.79137,42.39639,14.87347,8.535501,23,8.018503
"2013-10-11 00:00:00",100,12.82495,42.21738,19.43454,8,23,7.972979
"2013-10-12 00:00:00",101,12.81236,35.73654,20.99142,7.847,23,6.145753
"2013-10-13 00:00:00",102,12.84509,38.67645,22.52573,8,23,5.376186
"2013-10-14 00:00:00",103,12.80312,35.10135,16.97787,9.071,23,8.83114
"2013-10-15 00:00:00",104,12.79809,31.18283,16.05066,10.5245,23,7.701109
"2013-10-16 00:00:00",105,12.82747,34.55133,11.86786,6.5465,23,5.074803
"2013-10-17 00:00:00",106,12.79557,38.8938,9.148376,7.540999,23,6.379432
"2013-10-18 00:00:00",107,12.82075,39.88864,17.8205,6.623,23,7.292446
"2013-10-19 00:00:00",108,12.80228,38.40778,17.38684,8.535501,23,7.377999
"2013-10-20 00:00:00",109,12.76451,42.20728,13.43921,5.7815,23,6.588254
"2013-10-21 00:00:00",110,12.77878,42.30057,15.52905,8.306,23,7.063665
"2013-10-22 00:00:00",111,12.80312,42.55603,19.77972,7.9235,23,6.819191
"2013-10-23 00:00:00",112,12.81152,39.25937,21.88657,8.6885,23,6.546854
"2013-10-24 00:00:00",113,12.80984,35.73743,20.03735,8,23,7.194288
"2013-10-25 00:00:00",114,12.80396,34.73932,15.43097,8.612,23,8.103754
"2013-10-26 00:00:00",115,12.79809,36.04114,13.56552,8.765,23,8.326612
"2013-10-27 00:00:00",116,12.76787,37.19766,11.15448,7.9235,23,7.610481
"2013-10-28 00:00:00",117,12.7494,39.45303,9.363007,7.0055,23,6.661376
"2013-10-29 00:00:00",118,12.75863,43.09183,12.05057,6.5465,23,6.792097
"2013-10-30 00:00:00",119,12.81152,38.56033,20.48865,8.459001,23,8.993901
"2013-10-31 00:00:00",120,12.80816,38.20554,18.70059,11.06,23,7.441367
"2013-11-01 00:00:00",121,12.81068,37.99573,20.00089,10.2185,23,7.812482
"2013-11-02 00:00:00",122,12.7687,38.53732,15.62231,7.7705,23,8.037946
"2013-11-03 00:00:00",123,12.73849,39.01013,9.579681,7.6175,23,7.242173
"2013-11-04 00:00:00",124,12.73093,40.49564,11.38422,7.9235,23,8.108191
"2013-11-05 00:00:00",125,12.79557,41.49286,17.63596,10.3715,23,9.469855
"2013-11-06 00:00:00",126,12.79641,41.76712,22.27353,8.0765,23,8.863735
"2013-11-07 00:00:00",127,12.74436,43.80457,14.35162,5.9345,23,6.834836
"2013-11-08 00:00:00",128,12.75947,43.52682,15.63904,7.847,23,8.346993
"2013-11-09 00:00:00",129,12.80396,39.68094,24.13516,9.606501,23,9.308216
"2013-11-10 00:00:00",130,12.79641,40.82022,20.44876,13.661,23,9.284739
"2013-11-11 00:00:00",131,12.8006,37.99872,20.25055,9.071,23,8.921999
"2013-11-12 00:00:00",132,12.8048,36.02728,17.01794,9.071,23,8.074212
"2013-11-13 00:00:00",133,12.81403,37.44284,18.00977,9.4535,23,8.446697
"2013-11-14 00:00:00",134,12.80144,38.89682,17.71362,8.612,23,9.297722
"2013-11-15 00:00:00",135,12.76619,40.69171,14.55051,6.776,23,6.826296
"2013-11-16 00:00:00",136,12.78381,41.14169,17.82864,8.382501,23,7.378056
"2013-11-17 00:00:00",137,12.79557,39.44278,22.52316,8.306,23,7.140457
"2013-11-18 00:00:00",138,12.79892,38.25995,20.30548,7.3115,23,6.21834
"2013-11-19 00:00:00",139,12.82327,33.6416,21.13309,8,23,6.095422
