"","JULDAY","TIME","TALOC","TAREF","RHLOC","RH","VLOC","VREF","SOILMOIST3","POOLDEP","TDEEP","ZEN","SOLR","TSKYC","DEW","FROST","SNOWFALL","SNOWDEP"
"1",15,0,-12.5875654220581,-13.4153137207031,69.6590270996094,75.0999984741211,1.07559478282928,4.90000009536743,0,0,7.7416672706604,90,0,-21.2502288818359,0,0,0,0
"2",15,60,-13.4772262573242,-13.5766296386719,77.7221221923828,78.4301528930664,1.07731533050537,4.90783786773682,1.35199999809265,0,7.7416672706604,90,0,-21.3964080810547,0,0,0,0
"3",15,120,-13.639404296875,-13.70849609375,81.2460632324219,81.7603149414062,1.07903587818146,4.91567611694336,1.35199999809265,0,7.7416672706604,90,0,-21.5137939453125,0,0,0,0
"4",15,180,-13.645037651062,-13.8163452148438,83.7690200805664,85.0904693603516,1.08075630664825,4.92351388931274,1.35199999809265,0,7.7416672706604,90,0,-21.6077728271484,0,0,0,0
"5",15,240,-14.0294723510742,-13.904541015625,89.4375839233398,88.4206237792969,1.08247685432434,4.93135166168213,1.35199999809265,0,7.7416672706604,90,0,-21.6826171875,0,0,0,0
"6",15,300,-13.9420166015625,-13.9766540527344,91.4604263305664,91.7507858276367,1.08419740200043,4.93918991088867,1.35199999809265,0,7.7416672706604,90,0,-21.7418518066406,0,0,0,0
"7",15,360,-13.9769086837769,-14.0355834960938,94.5714492797852,95.080940246582,1.08635079860687,4.94899988174438,1.35199999809265,0,7.7416672706604,90,1.61131065397058e-05,-21.788330078125,0,0,0,0
"8",15,420,-14.0032176971436,-14.0838012695312,98.5191955566406,99.2490005493164,1.08729231357574,4.95328950881958,1.35199999809265,0,7.7416672706604,90,0.346966475248337,-21.8215789794922,0,0,0,0
"9",15,480,-13.7275447845459,-13.8422241210938,98.2140426635742,99.2490005493164,1.08355009555817,4.93624114990234,1.35199999809265,0,7.7416672706604,84.6508483886719,36.3007202148438,-21.5794219970703,0,0,0,0
"10",15,540,-11.9000644683838,-11.9533386230469,89.1768264770508,89.6059951782227,1.0798077583313,4.91919326782227,1.35199999809265,0,7.7416672706604,76.4525604248047,120.767585754395,-19.7332763671875,0,0,0,0
"11",15,600,-9.28746795654297,-9.13128662109375,77.7858047485352,76.7209930419922,1.07606554031372,4.90214490890503,1.35199999809265,0,7.7416672706604,69.9729843139648,200.663970947266,-16.9736633300781,0,0,0,0
"12",15,660,-6.44420528411865,-6.19815063476562,52.0450134277344,50.951000213623,1.07232332229614,4.88509654998779,1.35199999809265,0,7.7416672706604,65.7644805908203,251.119369506836,-14.1917419433594,0,0,0,0
"13",15,720,-4.27614784240723,-4.0084228515625,52.1228179931641,50.951000213623,1.06483888626099,4.85099983215332,1.35199999809265,0,7.7416672706604,64.2979888916016,269.572875976562,-12.0092163085938,0,0,0,0
"14",15,780,-3.42074298858643,-3.20001220703125,53.9594116210938,52.9634170532227,1.06483888626099,4.85099983215332,1.35199999809265,0,7.7416672706604,65.7644805908203,251.0205078125,-11.1893005371094,0,0,0,0
"15",15,840,-4.12687969207764,-4.0084228515625,55.5314674377441,54.9758338928223,1.06581676006317,4.85545444488525,1.35199999809265,0,7.7416672706604,69.9729843139648,201.522033691406,-11.9822998046875,0,0,0,0
"16",15,900,-6.19860792160034,-6.19815063476562,56.9905395507812,56.9882507324219,1.06679451465607,4.85990905761719,1.35199999809265,0,7.7416672706604,76.4525604248047,121.544212341309,-14.1531066894531,0,0,0,0
"17",15,960,-8.89095211029053,-9.13128662109375,57.7644348144531,59.0006675720215,1.06777226924896,4.86436367034912,1.35199999809265,0,7.7416672706604,84.6508483886719,36.6127662658691,-17.0641326904297,0,0,0,0
"18",15,1020,-10.5127754211426,-10.6796875,60.1116485595703,61.0130844116211,1.06875002384186,4.8688178062439,1.35199999809265,0,7.7416672706604,90,0.349585264921188,-18.5950775146484,0,0,0,0
"19",15,1080,-11.2160406112671,-11.3397827148438,62.3300094604492,63.0254974365234,1.06972789764404,4.87327289581299,1.35199999809265,0,7.7416672706604,90,1.62260330398567e-05,-19.2416229248047,0,0,0,0
"20",15,1140,-11.7683944702148,-11.8795166015625,64.390495300293,65.0379180908203,1.07070577144623,4.87772703170776,1.35199999809265,0,7.7416672706604,90,0,-19.7686462402344,0,0,0,0
"21",15,1200,-12.2236137390137,-12.3208618164062,66.4637908935547,67.0503311157227,1.07168364524841,4.88218212127686,1.35199999809265,0,7.7416672706604,90,0,-20.1980133056641,0,0,0,0
"22",15,1260,-12.6083946228027,-12.6817016601562,68.6055526733398,69.0627517700195,1.07266139984131,4.88663625717163,1.35199999809265,0,7.7416672706604,90,0,-20.5475311279297,0,0,0,0
"23",15,1320,-12.946177482605,-12.9767761230469,70.8778305053711,71.0751647949219,1.0736391544342,4.89109086990356,1.35199999809265,0,7.7416672706604,90,0,-20.8318328857422,0,0,0,0
"24",15,1380,-13.256519317627,-13.2180480957031,73.343994140625,73.0875854492188,1.07461714744568,4.8955454826355,1.35199999809265,0,7.7416672706604,90,0,-21.0628204345703,0,0,0,0
"25",46,0,-10.284330368042,-11.3197021484375,67.6449127197266,74.1999969482422,1.05364394187927,4.80000019073486,0,0,7.7416672706604,90,0,-19.2361297607422,0,0,0,0
"26",46,60,-11.3431053161621,-11.4763793945312,77.1309356689453,78.0589828491211,1.05556201934814,4.80873775482178,1.35199999809265,0,7.7416672706604,90,0,-19.3742980957031,0,0,0,0
"27",46,120,-11.5084772109985,-11.6015625,81.23583984375,81.91796875,1.05748009681702,4.81747579574585,1.35199999809265,0,7.7416672706604,90,0,-19.4818115234375,0,0,0,0
"28",46,180,-11.5228462219238,-11.7016296386719,84.4096374511719,85.7769546508789,1.0593980550766,4.82621335983276,1.35199999809265,0,7.7416672706604,90,0,-19.5649719238281,0,0,0,0
"29",46,240,-11.8561611175537,-11.7816162109375,90.2395553588867,89.6359405517578,1.06131601333618,4.83495140075684,1.35199999809265,0,7.7416672706604,90,0,-19.6287384033203,0,0,0,0
"30",46,300,-11.9298105239868,-11.8455505371094,94.2071685791016,93.4949264526367,1.0641804933548,4.84800052642822,1.35199999809265,0,7.7416672706604,90,0,-19.6770782470703,0,0,0,0
"31",46,360,-11.8546419143677,-11.8966369628906,98.8831176757812,99.2580032348633,1.06577849388123,4.85528039932251,1.35199999809265,0,7.7416672706604,90,0.00375135359354317,-19.7059173583984,0,0,0,0
"32",46,420,-11.8735160827637,-11.91845703125,98.8568801879883,99.2580032348633,1.06253969669342,4.84052610397339,1.35199999809265,0,7.7416672706604,87.8699111938477,10.7336463928223,-19.7257080078125,0,0,0,0
"33",46,480,-10.6390686035156,-10.5560302734375,94.3204727172852,93.6244964599609,1.0593010187149,4.82577180862427,1.35199999809265,0,7.7416672706604,78.2332229614258,100.734115600586,-18.3882904052734,0,0,0,0
"34",46,540,-8.30759429931641,-8.15194702148438,83.6363067626953,82.5038757324219,1.05606234073639,4.81101751327515,1.35199999809265,0,7.7416672706604,69.4261169433594,211.890197753906,-16.0333557128906,0,0,0,0
"35",46,600,-5.43996286392212,-5.25582885742188,72.5187301635742,71.3832473754883,1.05282366275787,4.79626321792603,1.35199999809265,0,7.7416672706604,62.3166122436523,305.131652832031,-13.1935424804688,0,0,0,0
"36",46,660,-2.64913535118103,-2.5299072265625,49.6363525390625,49.1420021057129,1.04958486557007,4.7815089225769,1.35199999809265,0,7.7416672706604,57.6067695617676,365.581848144531,-10.6114807128906,0,0,0,0
"37",46,720,-0.703714311122894,-0.597320556640625,49.5764198303223,49.1420021057129,1.04310750961304,4.75200033187866,1.35199999809265,0,7.7416672706604,55.9447364807129,377.404083251953,-8.68057250976562,0,0,0,0
"38",46,780,0.0679394379258156,0.100006103515625,51.3496322631836,51.230167388916,1.04310750961304,4.75200033187866,1.35199999809265,0,7.7416672706604,57.6067695617676,365.451324462891,-7.96762084960938,0,0,0,0
"39",46,840,-0.534645855426788,-0.597320556640625,53.042667388916,53.3183364868164,1.04406535625458,4.75636386871338,1.35199999809265,0,7.7416672706604,62.3166122436523,306.077545166016,-8.64889526367188,0,0,0,0
"40",46,900,-2.3762526512146,-2.5299072265625,54.697193145752,55.4065017700195,1.04502320289612,4.7607274055481,1.35199999809265,0,7.7416672706604,69.4261169433594,212.877365112305,-10.56591796875,0,0,0,0
"41",46,960,-5.03917360305786,-5.255859375,56.4384346008301,57.4946670532227,1.04598116874695,4.76509094238281,1.35199999809265,0,7.7416672706604,78.2332229614258,101.36107635498,-13.2753601074219,0,0,0,0
"42",46,1020,-7.89311647415161,-8.15194702148438,58.249397277832,59.5828323364258,1.0469388961792,4.76945495605469,1.35199999809265,0,7.7416672706604,87.8699111938477,10.817310333252,-16.1536254882812,0,0,0,0
"43",46,1080,-8.90912914276123,-9.10629272460938,60.6088104248047,61.6709976196289,1.04789686203003,4.7738184928894,1.35199999809265,0,7.7416672706604,90,0.003775225719437,-17.0935821533203,0,0,0,0
"44",46,1140,-9.48270606994629,-9.70733642578125,62.503963470459,63.7591667175293,1.04885470867157,4.77818250656128,1.35199999809265,0,7.7416672706604,90,0,-17.6814117431641,0,0,0,0
"45",46,1200,-9.87868690490723,-10.1876831054688,64.0650863647461,65.8473358154297,1.04981255531311,4.782546043396,1.35199999809265,0,7.7416672706604,90,0,-18.1492156982422,0,0,0,0
"46",46,1260,-10.4592351913452,-10.5716247558594,67.2584075927734,67.9355010986328,1.05077040195465,4.78690958023071,1.35199999809265,0,7.7416672706604,90,0,-18.5211639404297,0,0,0,0
"47",46,1320,-10.778416633606,-10.8784790039062,69.4003677368164,70.0236663818359,1.05172836780548,4.79127311706543,1.35199999809265,0,7.7416672706604,90,0,-18.8165435791016,0,0,0,0
"48",46,1380,-10.8180074691772,-11.1237182617188,70.1665115356445,72.1118316650391,1.05268609523773,4.79563665390015,1.35199999809265,0,7.7416672706604,90,0,-19.0507659912109,0,0,0,0
"49",74,0,-3.36055946350098,-4.4185791015625,67.9721145629883,74.3499984741211,1.14144742488861,5.19999980926514,0,0,7.7416672706604,90,0,-12.3191833496094,0,0,0,0
"50",74,60,-4.42342090606689,-4.56317138671875,77.5127563476562,78.4406127929688,1.14369058609009,5.21021842956543,1.35199999809265,0,7.7416672706604,90,0,-12.4431762695312,0,0,0,0
"51",74,120,-4.57832098007202,-4.67709350585938,81.8392181396484,82.5312194824219,1.14593362808228,5.22043704986572,1.35199999809265,0,7.7416672706604,90,0,-12.5374450683594,0,0,0,0
"52",74,180,-4.68872308731079,-4.766845703125,86.0465850830078,86.6218338012695,1.14817678928375,5.23065614700317,1.35199999809265,0,7.7416672706604,90,0,-12.6084289550781,0,0,0,0
"53",74,240,-4.64219808578491,-4.83755493164062,89.2134094238281,90.7124481201172,1.15041995048523,5.24087476730347,1.35199999809265,0,7.7416672706604,90,0,-12.6611328125,0,0,0,0
"54",74,300,-4.74477005004883,-4.89324951171875,93.6093063354492,94.8030624389648,1.15286195278168,5.2519998550415,1.35199999809265,0,7.7416672706604,90,9.2470996605698e-05,-12.6995239257812,0,0,0,0
