"","JULDAY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
"1",15,0,-11.0680141448975,-11.0680141448975,-11.0680141448975,-11.0680141448975,-11.0680141448975,-11.0680141448975,-11.0680141448975,-11.0680141448975,-11.0680141448975,7.7416672706604
"2",15,60,-13.2946329116821,-12.1487703323364,-11.4396667480469,-11.1096954345703,-11.0714807510376,-11.0681762695312,-11.0680141448975,-11.0679616928101,-11.046368598938,7.7416672706604
"3",15,120,-13.5124158859253,-12.5772409439087,-11.8728742599487,-11.2489356994629,-11.0986003875732,-11.0711002349854,-11.0680770874023,-11.0678033828735,-11.0247964859009,7.7416672706604
"4",15,180,-13.3299837112427,-12.898811340332,-12.1741809844971,-11.419282913208,-11.154052734375,-11.0815076828003,-11.0684814453125,-11.0675449371338,-11.0032987594604,7.7416672706604
"5",15,240,-14.259373664856,-12.9543914794922,-12.4149751663208,-11.5854692459106,-11.2281455993652,-11.1018524169922,-11.0696935653687,-11.0671949386597,-10.9818735122681,7.7416672706604
"6",15,300,-13.8782348632812,-13.1819381713867,-12.5857534408569,-11.7386674880981,-11.3114681243896,-11.1319494247437,-11.0721960067749,-11.0667695999146,-10.960521697998,7.7416672706604
"7",15,360,-13.8687858581543,-13.3152170181274,-12.7296333312988,-11.8762950897217,-11.3979177474976,-11.1702117919922,-11.076376914978,-11.0662879943848,-10.9392433166504,7.7416672706604
"8",15,420,-13.8546752929688,-13.425103187561,-12.8496465682983,-11.9995784759521,-11.4839763641357,-11.2146444320679,-11.0824937820435,-11.0657720565796,-10.9180364608765,7.7416672706604
"9",15,480,-13.5164289474487,-13.4229307174683,-12.9278144836426,-12.1082639694214,-11.5676298141479,-11.2633447647095,-11.090669631958,-11.0652484893799,-10.8969020843506,7.7416672706604
"10",15,540,-11.8021202087402,-12.8685731887817,-12.8183183670044,-12.1825866699219,-11.6452932357788,-11.314507484436,-11.100923538208,-11.0647449493408,-10.8758392333984,7.7416672706604
"11",15,600,-9.57422637939453,-11.5076341629028,-12.28466796875,-12.1520919799805,-11.7027368545532,-11.3652324676514,-11.1131458282471,-11.064284324646,-10.8548488616943,7.7416672706604
"12",15,660,-6.89538049697876,-9.74576854705811,-11.312593460083,-11.9477634429932,-11.7125720977783,-11.4091806411743,-11.1269931793213,-11.0638885498047,-10.8339290618896,7.7416672706604
"13",15,720,-4.76574945449829,-7.96377086639404,-10.0895328521729,-11.5549726486206,-11.6487588882446,-11.4363346099854,-11.1416931152344,-11.0635738372803,-10.8130798339844,7.7416672706604
"14",15,780,-3.82440376281738,-6.61002588272095,-8.89193153381348,-11.0221633911133,-11.5008325576782,-11.4358587265015,-11.1559381484985,-11.0633411407471,-10.7923030853271,7.7416672706604
"15",15,840,-4.34358215332031,-6.04102373123169,-8.01073551177979,-10.4470071792603,-11.280592918396,-11.4001474380493,-11.1680068969727,-11.0631742477417,-10.7715969085693,7.7416672706604
"16",15,900,-6.19944524765015,-6.41057348251343,-7.66285228729248,-9.94844722747803,-11.0209369659424,-11.328197479248,-11.1760711669922,-11.0630340576172,-10.7509613037109,7.7416672706604
"17",15,960,-8.45098114013672,-7.67249536514282,-7.91900014877319,-9.63259792327881,-10.7677869796753,-11.2270660400391,-11.1786203384399,-11.0628604888916,-10.7303981781006,7.7416672706604
"18",15,1020,-10.2071075439453,-8.98255920410156,-8.61982345581055,-9.55256748199463,-10.56715965271,-11.1108417510986,-11.1748695373535,-11.0625810623169,-10.7099056243896,7.7416672706604
"19",15,1080,-10.9893503189087,-9.92212295532227,-9.35041904449463,-9.65853977203369,-10.4454469680786,-10.9967746734619,-11.1649856567383,-11.0621242523193,-10.6894826889038,7.7416672706604
"20",15,1140,-11.5647554397583,-10.5736951828003,-9.944091796875,-9.85568809509277,-10.398962020874,-10.8990993499756,-11.150013923645,-11.0614213943481,-10.6691284179688,7.7416672706604
"21",15,1200,-12.045337677002,-11.0888290405273,-10.4293813705444,-10.0833024978638,-10.4087963104248,-10.8253993988037,-11.1315174102783,-11.0604238510132,-10.6488428115845,7.7416672706604
"22",15,1260,-12.4739608764648,-11.5069141387939,-10.8387136459351,-10.3153047561646,-10.45667552948,-10.7774324417114,-11.1111736297607,-11.0591049194336,-10.6286249160767,7.7416672706604
"23",15,1320,-12.8900461196899,-11.8459148406982,-11.1904850006104,-10.5406303405762,-10.529221534729,-10.7535333633423,-11.0905113220215,-11.0574569702148,-10.6084718704224,7.7416672706604
"24",15,1380,-13.3271179199219,-12.1161851882935,-11.4960613250732,-10.7544355392456,-10.6172895431519,-10.7505073547363,-11.0707931518555,-11.055492401123,-10.5883865356445,7.7416672706604
"25",46,0,-8.39849758148193,-8.39849758148193,-8.39849758148193,-8.39849758148193,-8.39849758148193,-8.39849758148193,-8.39849758148193,-8.39849758148193,-8.39849758148193,7.7416672706604
"26",46,60,-11.1001901626587,-9.71703910827637,-8.85514831542969,-8.45015716552734,-8.40282917022705,-8.39870166778564,-8.39849853515625,-8.39845085144043,-8.37975788116455,7.7416672706604
"27",46,120,-11.3386945724487,-10.2258586883545,-9.38010311126709,-8.62133121490479,-8.43651390075684,-8.40237140655518,-8.39857959747314,-8.39831352233887,-8.36108493804932,7.7416672706604
"28",46,180,-11.1965341567993,-10.583423614502,-9.73912811279297,-8.82824802398682,-8.50478363037109,-8.41534233093262,-8.399094581604,-8.3980884552002,-8.34247589111328,7.7416672706604
"29",46,240,-11.9923124313354,-10.6803121566772,-10.0152034759521,-9.02772903442383,-8.59512424468994,-8.44051265716553,-8.40062141418457,-8.39778804779053,-8.32393169403076,7.7416672706604
"30",46,300,-12.0838651657104,-10.8423633575439,-10.2186508178711,-9.20885562896729,-8.69574737548828,-8.47746086120605,-8.40375232696533,-8.39743041992188,-8.30544948577881,7.7416672706604
"31",46,360,-11.7778215408325,-11.0355825424194,-10.3751468658447,-9.37010097503662,-8.79916095733643,-8.52407646179199,-8.40895175933838,-8.39703845977783,-8.28703212738037,7.7416672706604
"32",46,420,-11.7913990020752,-11.125018119812,-10.5057926177979,-9.51249599456787,-8.90119552612305,-8.57780647277832,-8.41651630401611,-8.39664268493652,-8.26867961883545,7.7416672706604
"33",46,480,-10.7906227111816,-10.7473125457764,-10.5164375305176,-9.62936210632324,-8.99890613555908,-8.63623714447021,-8.42657279968262,-8.39627075195312,-8.25038814544678,7.7416672706604
"34",46,540,-8.59133625030518,-9.68121337890625,-10.1436071395874,-9.66221714019775,-9.08186435699463,-8.69652652740479,-8.4391040802002,-8.39595508575439,-8.23215770721436,7.7416672706604
"35",46,600,-5.77524614334106,-8.06064701080322,-9.31936931610107,-9.53694534301758,-9.12527847290039,-8.75306797027588,-8.45386791229248,-8.39572334289551,-8.21399307250977,7.7416672706604
"36",46,660,-2.86597919464111,-6.21536540985107,-8.13840866088867,-9.21679019927979,-9.10088729858398,-8.79639339447021,-8.4702205657959,-8.39559936523438,-8.19589233398438,7.7416672706604
"37",46,720,-0.896761000156403,-4.44490718841553,-6.81352615356445,-8.71786403656006,-8.9900426864624,-8.81499767303467,-8.48697280883789,-8.39559173583984,-8.17785263061523,7.7416672706604
"38",46,780,0.00975590199232101,-3.136634349823,-5.58609008789062,-8.1048641204834,-8.79181671142578,-8.7987232208252,-8.50241565704346,-8.3956995010376,-8.15987396240234,7.7416672706604
"39",46,840,-0.420885682106018,-2.56518006324768,-4.68821954727173,-7.47283458709717,-8.52467727661133,-8.74207019805908,-8.51453685760498,-8.39588642120361,-8.14196109771729,7.7416672706604
"40",46,900,-2.09725832939148,-2.86232924461365,-4.30249452590942,-6.92886734008789,-8.22333145141602,-8.64635562896729,-8.52136993408203,-8.39610195159912,-8.12411212921143,7.7416672706604
"41",46,960,-4.64559650421143,-3.95789670944214,-4.50119352340698,-6.56775617599487,-7.93214845657349,-8.52028656005859,-8.52139377593994,-8.39626884460449,-8.10632419586182,7.7416672706604
