"","JULDAY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
"1",15,0,-14.515700340271,-13.1951446533203,-12.1670722961426,-10.795503616333,-10.2859325408936,-10.2913837432861,-10.7991361618042,-10.9522705078125,-10.1049003601074,7.7416672706604
"2",15,60,-14.5723371505737,-13.4649181365967,-12.4622631072998,-11.0760288238525,-10.4629373550415,-10.3569993972778,-10.7769660949707,-10.9460573196411,-10.0862598419189,7.7416672706604
"3",15,120,-14.2474136352539,-13.7440319061279,-12.7091455459595,-11.3281011581421,-10.635796546936,-10.4356937408447,-10.7604780197144,-10.9396238327026,-10.0676679611206,7.7416672706604
"4",15,180,-14.8763246536255,-13.8430871963501,-12.9324913024902,-11.5543117523193,-10.8025465011597,-10.5231704711914,-10.7497911453247,-10.9330425262451,-10.049126625061,7.7416672706604
"5",15,240,-14.970817565918,-13.991135597229,-13.1193733215332,-11.7581539154053,-10.9619913101196,-10.6160974502563,-10.7448120117188,-10.9263887405396,-10.0306329727173,7.7416672706604
"6",15,300,-14.6174468994141,-14.1794090270996,-13.2755260467529,-11.9421672821045,-11.1135053634644,-10.7119255065918,-10.7452926635742,-10.9197311401367,-10.0121870040894,7.7416672706604
"7",15,360,-15.0984239578247,-14.2225494384766,-13.421103477478,-12.1080532073975,-11.2568302154541,-10.808741569519,-10.7508869171143,-10.9131355285645,-9.99379062652588,7.7416672706604
"8",15,420,-15.1123046875,-14.3120861053467,-13.5421485900879,-12.2582321166992,-11.3919191360474,-10.9051284790039,-10.7611837387085,-10.9066600799561,-9.97544288635254,7.7416672706604
"9",15,480,-14.0059432983398,-14.0372085571289,-13.5620956420898,-12.3871660232544,-11.5184268951416,-11.0000324249268,-10.7757453918457,-10.9003591537476,-9.95714473724365,7.7416672706604
"10",15,540,-10.4671649932861,-12.5605964660645,-13.1311531066895,-12.4344034194946,-11.6281223297119,-11.0920114517212,-10.7941036224365,-10.8942794799805,-9.9388952255249,7.7416672706604
"11",15,600,-5.71927547454834,-9.91865062713623,-11.8863344192505,-12.2602243423462,-11.6890907287598,-11.1761589050293,-10.8156824111938,-10.8884592056274,-9.92069530487061,7.7416672706604
"12",15,660,-1.54630696773529,-6.87474870681763,-10.0087366104126,-11.7698736190796,-11.6514167785645,-11.2404050827026,-10.8394832611084,-10.8829317092896,-9.90254497528076,7.7416672706604
"13",15,720,1.4101494550705,-4.14979791641235,-7.92751026153564,-10.9918518066406,-11.479663848877,-11.2673292160034,-10.863751411438,-10.8777046203613,-9.88444423675537,7.7416672706604
"14",15,780,2.41769909858704,-2.4016752243042,-6.07893705368042,-10.0447864532471,-11.1724300384521,-11.2408723831177,-10.8859195709229,-10.872766494751,-9.86639404296875,7.7416672706604
"15",15,840,0.67459762096405,-2.01386499404907,-4.90810203552246,-9.10434913635254,-10.7641038894653,-11.1528482437134,-10.9029378890991,-10.868067741394,-9.84839630126953,7.7416672706604
"16",15,900,-3.27114629745483,-3.21841168403625,-4.70347881317139,-8.36196136474609,-10.3185501098633,-11.0071058273315,-10.9118824005127,-10.8635225296021,-9.8304500579834,7.7416672706604
"17",15,960,-8.11961650848389,-5.73618364334106,-5.53826379776001,-7.97822570800781,-9.91497039794922,-10.8204393386841,-10.9106464385986,-10.8590154647827,-9.81255435943604,7.7416672706604
"18",15,1020,-10.7461366653442,-8.26878070831299,-7.0314826965332,-8.01573467254639,-9.62707614898682,-10.6199140548706,-10.8985347747803,-10.8544178009033,-9.79471015930176,7.7416672706604
"19",15,1080,-12.1652574539185,-9.80247402191162,-8.44667434692383,-8.35486793518066,-9.48981285095215,-10.4356622695923,-10.8765354156494,-10.8496007919312,-9.77691650390625,7.7416672706604
"20",15,1140,-12.7133731842041,-10.7943744659424,-9.48485946655273,-8.8086109161377,-9.48406028747559,-10.2902116775513,-10.8470478057861,-10.8444595336914,-9.75917434692383,7.7416672706604
"21",15,1200,-13.2190809249878,-11.5111379623413,-10.2635459899902,-9.26778602600098,-9.56672954559326,-10.1929149627686,-10.8131484985352,-10.8389282226562,-9.74148082733154,7.7416672706604
"22",15,1260,-13.3726959228516,-12.1074409484863,-10.8729619979858,-9.69589614868164,-9.70104789733887,-10.1426591873169,-10.7778596878052,-10.8329792022705,-9.72383499145508,7.7416672706604
"23",15,1320,-13.9578666687012,-12.5174264907837,-11.3749179840088,-10.0840082168579,-9.86286354064941,-10.1330709457397,-10.7437238693237,-10.8266181945801,-9.70623588562012,7.7416672706604
"24",15,1380,-14.3997631072998,-12.8589162826538,-11.7917556762695,-10.4329538345337,-10.0375566482544,-10.1561985015869,-10.7126617431641,-10.819878578186,-9.68868255615234,7.7416672706604
"25",46,0,-12.6415634155273,-10.6535654067993,-9.3360710144043,-7.49380922317505,-6.8303108215332,-6.89486885070801,-7.76494789123535,-8.22791957855225,-7.5634937286377,7.7416672706604
"26",46,60,-12.5025005340576,-11.0030508041382,-9.70951557159424,-7.87641286849976,-7.08126926422119,-6.99230718612671,-7.73177099227905,-8.21866226196289,-7.54723072052002,7.7416672706604
"27",46,120,-12.6403694152832,-11.2489910125732,-10.025652885437,-8.21445655822754,-7.32278060913086,-7.10662460327148,-7.70706510543823,-8.20912456512451,-7.53100204467773,7.7416672706604
"28",46,180,-12.9851512908936,-11.4157066345215,-10.2956924438477,-8.51392841339111,-7.55261659622192,-7.23155832290649,-7.69087314605713,-8.19941902160645,-7.514808177948,7.7416672706604
"29",46,240,-12.791955947876,-11.6263751983643,-10.51881980896,-8.78035545349121,-7.76970195770264,-7.36237335205078,-7.68293190002441,-8.18965244293213,-7.49864768981934,7.7416672706604
"30",46,300,-12.905065536499,-11.7594347000122,-10.7135562896729,-9.01785373687744,-7.97370862960815,-7.49556684494019,-7.68277359008789,-8.17992782592773,-7.48252058029175,7.7416672706604
"31",46,360,-12.9485511779785,-11.8744707107544,-10.8798780441284,-9.23030281066895,-8.16474056243896,-7.62860107421875,-7.68980646133423,-8.170334815979,-7.46642780303955,7.7416672706604
